_id,time,lat,lon,bssid,ssid,level,speed,accuracy
1,1437679133794,40.1060288,-88.2368612,d8:c7:c8:61:45:d2,AH,-63,0.0,30.0
2,1437679133794,40.1060288,-88.2368612,d8:c7:c8:61:45:da,AH,-60,0.0,30.0
3,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:4e:c1,XFBSECA7HE6H,-76,0.0,30.0
4,1437679133794,40.1060288,-88.2368612,48:f8:b3:b7:e3:fe,JNMM,-89,0.0,30.0
5,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:5a:52,xfinitywifi,-63,0.0,30.0
6,1437679133794,40.1060288,-88.2368612,5a:23:8c:ae:75:58,"",-88,0.0,30.0
7,1437679133794,40.1060288,-88.2368612,58:23:8c:ae:75:57,HOME-7557,-88,0.0,30.0
8,1437679133794,40.1060288,-88.2368612,5a:23:8c:ae:75:59,xfinitywifi,-85,0.0,30.0
9,1437679133794,40.1060288,-88.2368612,5a:23:8c:ae:8a:e9,xfinitywifi,-90,0.0,30.0
10,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:5a:50,"",-85,0.0,30.0
11,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:4e:c3,CableWiFi,-77,0.0,30.0
12,1437679133794,40.1060288,-88.2368612,94:62:69:57:d9:d0,MEEC,-90,0.0,30.0
13,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:5a:53,CableWiFi,-63,0.0,30.0
14,1437679133794,40.1060288,-88.2368612,00:0d:67:85:6e:f3,CableWiFi,-75,0.0,30.0
15,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:4e:c2,xfinitywifi,-76,0.0,30.0
16,1437679133794,40.1060288,-88.2368612,58:23:8c:ae:8a:e7,HOME-8AE7,-86,0.0,30.0
17,1437679133794,40.1060288,-88.2368612,00:0d:67:7c:5a:4b,CableWiFi,-82,0.0,30.0
18,1437679133794,40.1060288,-88.2368612,04:18:d6:01:5a:35,"1005SEC Pavlov Media",-92,0.0,30.0
19,1437679136740,40.1060288,-88.2368612,d8:c7:c8:61:45:d2,AH,-63,0.0,30.0
20,1437679136740,40.1060288,-88.2368612,d8:c7:c8:61:45:da,AH,-60,0.0,30.0
21,1437679136740,40.1060288,-88.2368612,00:0d:67:7c:4e:c1,XFBSECA7HE6H,-76,0.0,30.0
22,1437679136740,40.1060288,-88.2368612,48:f8:b3:b7:e3:fe,JNMM,-89,0.0,30.0
23,1437679136740,40.1060288,-88.2368612,5a:23:8c:ae:75:58,"",-88,0.0,30.0
24,1437679136740,40.1060288,-88.2368612,58:23:8c:ae:75:57,HOME-7557,-88,0.0,30.0
25,1437679136740,40.1060288,-88.2368612,5a:23:8c:ae:8a:e9,xfinitywifi,-90,0.0,30.0
26,1437679136740,40.1060288,-88.2368612,00:0d:67:7c:5a:50,"",-85,0.0,30.0
27,1437679136740,40.1060288,-88.2368612,00:0d:67:7c:4e:c3,CableWiFi,-77,0.0,30.0
28,1437679136740,40.1060288,-88.2368612,00:0d:67:85:6e:f3,CableWiFi,-75,0.0,30.0
29,1437679136740,40.1060288,-88.2368612,00:0d:67:7c:4e:c2,xfinitywifi,-76,0.0,30.0
30,1437679136740,40.1060288,-88.2368612,58:23:8c:ae:8a:e7,HOME-8AE7,-86,0.0,30.0
31,1437679136740,40.1060288,-88.2368612,00:0d:67:7c:5a:4b,CableWiFi,-82,0.0,30.0
32,1437679136740,40.1060288,-88.2368612,04:18:d6:01:5a:35,"1005SEC Pavlov Media",-92,0.0,30.0
33,1437679139795,40.1060288,-88.2368612,d8:c7:c8:61:45:d2,AH,-61,0.0,30.0
34,1437679139795,40.1060288,-88.2368612,d8:c7:c8:61:45:da,AH,-59,0.0,30.0
