lat,lon,ap
40.1060288,-88.2368612,59
40.1060354,-88.2369425,82
40.1059956,-88.2368364,74
40.10574854,-88.23661245,40
40.1057458,-88.23653232,34
40.10570639,-88.23651965,44
40.10510903,-88.2365474,54
40.10502903,-88.23654976,34
40.10485967,-88.23653803,96
40.10463447,-88.23656772,51
40.10443207,-88.23655808,37
40.10437375,-88.23659636,68
40.10431546,-88.23655679,44
40.10424761,-88.23648301,44
40.10417983,-88.23644136,55
40.10414915,-88.23634558,61
40.10419311,-88.23372547,57
40.10418804,-88.23364842,30
40.10417568,-88.23339883,44
40.10415797,-88.23304935,46
40.1041239,-88.23258507,31
40.10411985,-88.23234595,29
40.10414953,-88.23196527,29
40.104501,-88.2334234,34
40.10408921,-88.23099131,20
40.1041136,-88.23045449,14
40.10413904,-88.22981785,15
40.10412969,-88.22970957,28
40.10417112,-88.22942344,54
40.10415334,-88.22932235,34
40.10415793,-88.22920809,34
40.10418775,-88.22890875,41
40.10410341,-88.2276691,42
40.104105,-88.22750254,8
40.10414161,-88.2274131,8
40.10412659,-88.22726672,13
40.10414295,-88.22701102,11
40.10413614,-88.22689788,13
40.10415258,-88.226784,13
40.10411281,-88.22653229,15
40.10414795,-88.22628165,11
40.10415872,-88.22603241,19
40.10416527,-88.22583296,13
40.10411736,-88.22515932,43
40.10411899,-88.22502437,24
40.10412924,-88.22489469,24
40.10409066,-88.22478821,50
40.10412426,-88.22465846,25
40.10411677,-88.22340605,33
40.10415358,-88.22260578,16
40.10416713,-88.22246887,6
40.10416728,-88.22234812,6
40.10416877,-88.22221667,6
40.10417252,-88.22206662,4
40.1040688,-88.2219671,6
40.10390086,-88.22201801,6
40.10377515,-88.22203189,7
40.10365986,-88.22197963,12
40.10307329,-88.22199133,17
40.10299821,-88.22198693,9
40.10291071,-88.22200625,9
40.10283099,-88.22197366,18
40.10266665,-88.22193855,10
40.10217886,-88.22188462,16
40.1019807,-88.22183768,7
40.10190904,-88.22184469,10
40.10182474,-88.22189602,5
40.10172468,-88.22192354,7
40.10162348,-88.22196146,7
40.10155241,-88.22196605,6
40.10138843,-88.22197495,6
40.10130626,-88.22199262,4
40.10117142,-88.22201395,4
40.10071418,-88.22213967,11
40.10070218,-88.2222362,11
40.10069519,-88.22234315,11
40.10069721,-88.22245939,30
40.10070351,-88.22268093,19
40.10070814,-88.22288173,19
40.10072261,-88.22305801,12
40.10072294,-88.22334375,12
40.10072389,-88.22344334,3
40.10072021,-88.22355153,22
40.10071627,-88.22366091,13
40.10071524,-88.22377896,42
40.10071831,-88.22399269,44
40.10071815,-88.22407986,22
40.10067974,-88.22501329,28
40.10068017,-88.22511193,6
40.10067828,-88.22521009,6
40.10067103,-88.22532928,6
40.10068473,-88.22545159,14
40.1006826,-88.22567911,28
40.10069046,-88.22578924,18
40.1006666,-88.2262307,16
40.10069683,-88.22600327,16
40.10069885,-88.22606434,17
40.10066211,-88.22627794,29
40.1006468,-88.226715,19
40.10059205,-88.22721893,24
40.10063374,-88.22748526,13
40.1006337,-88.22761154,10
40.10062914,-88.22806738,13
40.10059948,-88.22828612,8
40.10061078,-88.22853597,13
40.1006063,-88.22879128,13
40.10062988,-88.22901053,18
40.10061202,-88.22922574,19
40.10061448,-88.2293461,19
40.10060367,-88.22947209,19
40.10060847,-88.2299334,32
40.10065659,-88.23012106,21
40.10066564,-88.23013343,26
40.10080553,-88.23017955,37
40.10098836,-88.2302044,40
40.10116736,-88.23022701,45
40.10156877,-88.23021082,52
40.10202426,-88.23023184,36
40.10212984,-88.23021862,20
40.10224786,-88.22765008,14
40.10162949,-88.22767297,34
40.1014106,-88.22714588,31
40.1026376,-88.22636087,58
40.10265024,-88.2260002,24
40.10269193,-88.22573506,25
40.10313532,-88.2256878,16
40.10323776,-88.22567057,36
40.10329394,-88.22559367,36
40.10338887,-88.22391943,25
40.10340084,-88.22330319,25
40.10341184,-88.22277454,6
40.10340834,-88.22259929,2
40.10339927,-88.22248014,2
40.1034217,-88.22222272,2
40.10344498,-88.22198991,6
40.10346659,-88.22185378,3
40.10348091,-88.22176733,7
40.10346976,-88.22165166,3
40.1034953,-88.22155695,3
40.10347921,-88.22138664,3
40.10346861,-88.22130546,3
40.10343237,-88.22114763,6
40.1033488,-88.22097104,8
40.1033451,-88.22087238,9
40.10336496,-88.22066348,4
40.1036442,-88.219712,11
40.10342288,-88.22018544,10
40.10342751,-88.22009941,20
40.10344693,-88.21991281,22
40.10353064,-88.21979628,55
40.10361861,-88.21968171,27
40.10366125,-88.21961947,32
40.1037478,-88.21959793,27
40.10386146,-88.21962078,29
40.1039615,-88.2196854,35
40.10399292,-88.21974768,30
40.10409578,-88.21981752,28
40.10426369,-88.219829,19
40.10441254,-88.21972838,22
40.10447336,-88.21965323,21
