lat,lon,apcount
40.1068082,-88.23135413,49
40.10547666,-88.23410444,63
40.10850435,-88.22887144,66
40.1053234,-88.22318135,27
40.10071524,-88.22377896,42
40.10156877,-88.23021082,52
40.1140503,-88.229285,48
40.11030297,-88.22562008,27
40.10061078,-88.22853597,13
40.10417252,-88.22206662,4
40.1014106,-88.22714588,31
40.10679222,-88.22766175,130
40.10411985,-88.23234595,29
40.10172468,-88.22192354,7
40.10979353,-88.23339337,72
40.10724148,-88.22883699,34
40.1006468,-88.226715,19
40.11040987,-88.23190682,19
40.10265024,-88.2260002,24
40.10770645,-88.22755978,20
40.10882471,-88.22769924,106
40.10291071,-88.22200625,9
40.1049135,-88.2292864,13
40.10069519,-88.22234315,11
40.11510916,-88.22576121,12
40.1066261,-88.2305301,81
40.10408921,-88.23099131,20
40.10483731,-88.21969635,43
40.10792471,-88.22374887,39
40.10182474,-88.22189602,5
40.1135646,-88.2251279,39
40.10497376,-88.22018761,48
40.10651345,-88.23643043,50
40.10437375,-88.23659636,68
40.10794886,-88.22693584,94
40.10783835,-88.22756552,34
40.10694615,-88.23024649,51
40.1143104,-88.22392663,37
40.10410341,-88.2276691,42
40.10689003,-88.22960592,49
40.10413904,-88.22981785,15
40.10575261,-88.23659548,27
40.10418807,-88.22689769,36
40.10071815,-88.22407986,22
40.10680494,-88.22886875,8
40.1130749,-88.2240752,57
40.10602122,-88.22491597,57
40.10343237,-88.22114763,6
40.10627969,-88.23208198,50
40.10828228,-88.22762072,19
40.11170691,-88.22555188,36
40.11012538,-88.22866264,36
40.11042698,-88.22939484,34
40.10547312,-88.23494868,59
40.10283099,-88.22197366,18
40.10678993,-88.22754146,63
40.10575254,-88.23659563,31
40.10651529,-88.23649682,59
40.10068473,-88.22545159,14
40.1045525,-88.22712391,32
40.1049624,-88.22052885,15
40.10568279,-88.23650423,50
40.1026376,-88.22636087,58
40.10416713,-88.22246887,6
40.10545027,-88.22904173,17
40.10779797,-88.2335635,49
40.10546188,-88.23354864,43
40.10777005,-88.22758119,16
40.11627568,-88.22473151,31
40.11040748,-88.23200561,46
40.10639957,-88.23036003,37
40.11040934,-88.23299605,53
40.11377204,-88.22542998,20
40.10455044,-88.22718835,12
40.10621939,-88.23645282,54
40.10663278,-88.23386697,57
40.10668318,-88.23371945,39
40.10412426,-88.22465846,25
40.10596674,-88.23656555,6
40.1102443,-88.22383592,120
40.10162949,-88.22767297,34
40.10911743,-88.23343021,59
40.11456029,-88.22704041,81
40.10604524,-88.23643519,38
40.10424431,-88.22569476,20
40.10344693,-88.21991281,22
40.11036485,-88.22385632,48
40.10583473,-88.23038997,43
40.10900017,-88.22473524,29
40.11627115,-88.2246175,37
40.10690214,-88.2299668,40
40.10900664,-88.22383092,42
40.10575189,-88.23658526,32
40.10412659,-88.22726672,13
40.10415872,-88.22603241,19
40.10463447,-88.23656772,51
40.11229612,-88.22621605,38
40.10749258,-88.22734068,40
40.10484438,-88.22514158,10
40.10411677,-88.22340605,33
40.10447336,-88.21965323,21
40.10690845,-88.23143363,59
40.10496231,-88.22052926,13
40.10803786,-88.23354012,56
40.1033451,-88.22087238,9
40.10662615,-88.22877942,50
40.10715128,-88.22884197,34
40.10806302,-88.23275954,26
40.10545334,-88.2292419,19
40.10972878,-88.22835769,75
40.10431768,-88.22738063,13
40.10892482,-88.22546269,46
40.10340834,-88.22259929,2
40.10563854,-88.23044859,60
40.10070814,-88.22288173,19
40.1150317,-88.22575963,18
40.11527356,-88.22573953,7
40.1060481,-88.22440338,54
40.10688367,-88.23156942,53
40.11162619,-88.22564231,30
40.10984677,-88.22569263,16
40.10820942,-88.22766194,37
40.10770028,-88.22751277,34
40.1144828,-88.22665408,47
40.1057458,-88.23653232,34
40.10067974,-88.22501329,28
40.10837588,-88.22680778,118
40.11491617,-88.22702786,145
40.10575536,-88.23663037,26
40.10072021,-88.22355153,22
40.10418775,-88.22890875,41
40.10689334,-88.22978856,51
40.11463026,-88.22748368,71
40.11018572,-88.2287285,53
40.10531376,-88.22339651,39
40.10072389,-88.22344334,3
40.10202426,-88.23023184,36
40.1036442,-88.219712,11
40.11627501,-88.22494057,36
40.10419269,-88.22630061,4
40.10534536,-88.2236045,44
40.10865904,-88.2288634,65
40.10575532,-88.23662948,25
40.10799987,-88.23335587,35
40.1068913,-88.2353402,50
40.1039615,-88.2196854,35
40.10336496,-88.22066348,4
40.10656556,-88.23598332,47
40.10059948,-88.22828612,8
40.11051466,-88.23013316,54
40.10706886,-88.22708963,47
40.10714363,-88.22380835,28
40.10645613,-88.23645862,55
40.1135708,-88.22684152,17
40.10596661,-88.23656724,14
40.11045478,-88.23042413,34
40.10485967,-88.23653803,96
40.10734088,-88.23354051,38
40.11630281,-88.22543704,28
40.10516859,-88.22513354,22
40.10072261,-88.22305801,12
40.1034217,-88.22222272,2
40.11423621,-88.22888844,52
40.10781266,-88.22709814,70
40.10719653,-88.22547941,22
40.1060329,-88.2239679,34
40.10547419,-88.22554788,18
40.10546302,-88.22540087,20
40.10817392,-88.22683029,61
40.10596566,-88.23656334,16
40.11445657,-88.22605742,31
40.10677799,-88.23182435,19
40.10741501,-88.23353574,48
40.10066211,-88.22627794,29
40.11453931,-88.22828923,74
40.10852168,-88.22678018,57
40.106393,-88.2290151,29
40.10589821,-88.22685827,9
40.1057783,-88.23660735,45
40.10269193,-88.22573506,25
40.10418994,-88.22659483,8
40.10689543,-88.22888327,17
40.10224786,-88.22765008,14
40.10072294,-88.22334375,12
40.11464956,-88.22402609,58
40.11032869,-88.23342775,53
40.1068017,-88.23050937,60
40.1089722,-88.22428895,32
40.11002029,-88.2256774,21
40.10694032,-88.23015966,43
40.10419311,-88.23372547,57
40.11378407,-88.22550237,26
40.10817407,-88.22761905,17
40.10689705,-88.22951231,100
40.1059956,-88.2368364,74
40.10414161,-88.2274131,8
40.10665519,-88.23493056,51
40.10340084,-88.22330319,25
40.10663289,-88.234419,53
40.10592442,-88.23646632,38
40.1058648,-88.23648741,47
40.10549482,-88.234474,135
40.10569679,-88.23654051,22
40.11335372,-88.22389055,58
40.10635405,-88.23209,28
40.10420851,-88.22531401,37
40.10652452,-88.23611891,45
40.10750447,-88.22885302,104
40.10574854,-88.23661245,40
40.10415797,-88.23304935,46
40.11230834,-88.22612204,25
40.10341184,-88.22277454,6
40.10952326,-88.23338555,52
40.10217886,-88.22188462,16
40.11040116,-88.23116852,63
40.10060367,-88.22947209,19
40.10571166,-88.23203106,94
40.10061448,-88.2293461,19
40.10577176,-88.23659514,22
40.10695708,-88.23115006,72
40.10970218,-88.22831158,75
40.10762885,-88.2274571,37
40.10510903,-88.2365474,54
40.11006413,-88.22859683,102
40.1060288,-88.2368612,58
40.11039992,-88.22387231,47
40.11281073,-88.22385896,65
40.11446126,-88.22623086,42
40.10069721,-88.22245939,30
